scale,processing_time[ms],matching_time[ms],total_time[ms],num_keypoints_reference,num_keypoints_test,num_matches,matches_percentage,correct_matches_percentage(precision),num_correct_matches,repeatability
1.0,15.134692192077637,31.126689910888672,46.26138210296631,1000,1000,1000,100.0,100.0,1000,100.0
1.2,14.731788635253906,29.64371840159098,44.37550703684489,1000,999,569,56.95695695695696,90.86115992970123,517,93.0
1.4,15.394099553426107,30.34522533416748,45.73932488759359,1000,993,454,45.720040281973816,79.73568281938326,362,88.5
1.5999999999999999,17.59163538614909,35.10177930196126,52.69341468811035,1000,996,345,34.63855421686747,64.92753623188405,224,81.10000000000001
1.7999999999999998,34.21013355255127,63.971066474914544,98.18120002746582,1000,989,352,35.591506572295245,53.125,187,75.5
1.9999999999999998,14.909593264261883,28.650410970052086,43.560004234313965,1000,983,304,30.925737538148525,41.44736842105263,126,71.7
2.1999999999999997,22.398885091145836,45.312635103861496,67.71152019500732,1000,983,298,30.31536113936928,30.87248322147651,92,69.39999999999999
2.3999999999999995,15.25731086730957,29.20424143473307,44.46155230204264,1000,982,279,28.411405295315685,21.863799283154123,61,67.30000000000001
2.5999999999999996,20.853837331136067,43.6892032623291,64.54304059346516,1000,980,311,31.734693877551017,15.755627009646304,49,65.2
2.8,14.745179812113445,28.91656557718913,43.661745389302574,1000,982,295,30.04073319755601,10.508474576271185,31,63.800000000000004
2.9999999999999996,40.91207186381022,67.56186485290527,108.47393671671549,1000,982,301,30.65173116089613,8.970099667774086,27,60.0
3.1999999999999993,14.860955874125164,28.676001230875652,43.536957105000816,1000,984,289,29.369918699186993,5.88235294117647,17,56.8
3.3999999999999995,25.023722648620605,48.87917836507162,73.90290101369223,1000,980,292,29.795918367346943,4.4520547945205475,13,53.300000000000004
3.5999999999999996,14.783668518066406,28.792142868041992,43.5758113861084,1000,983,284,28.891149542217704,4.225352112676056,12,55.7
3.7999999999999994,22.763800621032715,48.225657145182296,70.98945776621501,1000,981,310,31.60040774719674,3.5483870967741935,11,56.8
3.999999999999999,14.500943819681805,28.538823127746582,43.03976694742839,1000,984,313,31.808943089430898,2.8753993610223643,9,57.8
